LOCALIZADOR;PLAN.;ID ELEM;ELEMENTO;QTDE ELEM;OS;POSICAO;BITOLA;PESO (KG);QTDE;Compr. Unit.;Compr. Corte;QR CODE
LIVING-MA.127;22614;19;V26;1;82;03;16mm;20,80;2;650;650;BF2D@HjLIVING-MA.127@r01@i82@p492861@l6500@n2@e20.8@d16.0@gCA50@s240.00@v@Gl6500@w0@C94@
LIVING-MA.127;22614;19;V26;1;83;04;12,5mm;27,31;3;929;926;BF2D@HjLIVING-MA.127@r01@i83@p492862@l9290@n3@e27.313@d12.5@gCA50@s50.00@v@Gl640@w-90@l8650@w0@C65@
LIVING-MA.127;22614;19;V26;1;84;05;12,5mm;3,23;1;330;330;BF2D@HjLIVING-MA.127@r01@i84@p492863@l3300@n1@e3.234@d12.5@gCA50@s50.00@v@Gl3300@w0@C67@
LIVING-MA.127;22614;19;V26;1;85;06;12,5mm;9,85;3;335;332;BF2D@HjLIVING-MA.127@r01@i85@p492864@l3350@n3@e9.849@d12.5@gCA50@s50.00@v@Gl300@w-90@l3050@w0@C90@
LIVING-MA.127;22614;19;V26;1;86;07;8mm;1,70;2;213;209;BF2D@HjLIVING-MA.127@r01@i86@p492865@l2130@n2@e1.704@d8.0@gCA50@s32.00@v@Gl350@w-90@l1430@w-90@l350@w0@C74@
LIVING-MA.127;22614;19;V26;1;87;08;8mm;1,64;2;205;203;BF2D@HjLIVING-MA.127@r01@i87@p492866@l2050@n2@e1.64@d8.0@gCA50@s32.00@v@Gl350@w-90@l1700@w0@C73@
LIVING-MA.127;22614;19;V26;1;88;09;12,5mm;23,42;2;1195;1195;BF2D@HjLIVING-MA.127@r01@i88@p492867@l11950@n2@e23.422@d12.5@gCA50@s50.00@v@Gl11950@w0@C85@
LIVING-MA.127;22614;19;V26;1;89;10;12,5mm;4,41;1;450;450;BF2D@HjLIVING-MA.127@r01@i89@p492868@l4500@n1@e4.41@d12.5@gCA50@s50.00@v@Gl4500@w0@C70@
LIVING-MA.127;22614;19;V26;1;90;11;12,5mm;4,02;1;410;410;BF2D@HjLIVING-MA.127@r01@i90@p492869@l4100@n1@e4.018@d12.5@gCA50@s50.00@v@Gl4100@w0@C65@
LIVING-MA.127;22614;19;V26;1;91;12;8mm;1,68;2;210;208;BF2D@HjLIVING-MA.127@r01@i91@p492870@l2100@n2@e1.68@d8.0@gCA50@s32.00@v@Gl350@w-90@l1750@w0@C78@
LIVING-MA.127;22614;19;V26;1;92;13;12,5mm;10,88;2;555;555;BF2D@HjLIVING-MA.127@r01@i92@p492871@l5550@n2@e10.878@d12.5@gCA50@s50.00@v@Gl5550@w0@C86@
LIVING-MA.127;22614;19;V26;1;93;14;12,5mm;4,21;1;430;430;BF2D@HjLIVING-MA.127@r01@i93@p492872@l4300@n1@e4.214@d12.5@gCA50@s50.00@v@Gl4300@w0@C66@
LIVING-MA.127;22614;19;V26;1;94;15;6,3mm;2,40;8;120;115;BF2D@HjLIVING-MA.127@r01@i94@p492873@l1200@n8@e2.4@d6.3@gCA50@s25.00@v@Gl60@w-120@l400@w-90@l140@w-90@l400@w-90@l140@w-120@l60@w0@C71@
LIVING-MA.127;22614;19;V26;1;95;16;6,3mm;32,73;77;170;165;BF2D@HjLIVING-MA.127@r01@i95@p492874@l1700@n77@e32.725@d6.3@gCA50@s25.00@v@Gl60@w-120@l650@w-90@l140@w-90@l650@w-90@l140@w-120@l60@w0@C95@
LIVING-MA.127;22614;19;V26;1;96;17;6,3mm;2,64;8;132;127;BF2D@HjLIVING-MA.127@r01@i96@p492875@l1320@n8@e2.64@d6.3@gCA50@s25.00@v@Gl60@w-120@l350@w-90@l250@w-90@l350@w-90@l250@w-120@l60@w0@C94@
LIVING-MA.127;22614;19;V26;1;97;18;8mm;14,69;6;612;612;BF2D@HjLIVING-MA.127@r01@i97@p492876@l6120@n6@e14.688@d8.0@gCA50@s32.00@v@Gl6120@w0@C65@
LIVING-MA.127;22614;19;V26;1;98;19;8mm;13,68;6;570;570;BF2D@HjLIVING-MA.127@r01@i98@p492877@l5700@n6@e13.68@d8.0@gCA50@s32.00@v@Gl5700@w0@C82@
LIVING-MA.127;22614;19;V26;1;99;20;8mm;12,77;6;532;532;BF2D@HjLIVING-MA.127@r01@i99@p492878@l5320@n6@e12.768@d8.0@gCA50@s32.00@v@Gl5320@w0@C94@
LIVING-MA.127;22614;20;V27;1;100;01;20mm;32,85;3;438;433;BF2D@HjLIVING-MA.127@r01@i100@p492880@l4380@n3@e32.85@d20.0@gCA50@s300.00@v@Gl630@w-90@l3750@w0@C75@
LIVING-MA.127;22614;20;V27;1;101;02;16mm;18,19;3;379;375;BF2D@HjLIVING-MA.127@r01@i101@p492881@l3790@n3@e18.192@d16.0@gCA50@s240.00@v@Gl330@w-90@l3460@w0@C79@
LIVING-MA.127;22614;20;V27;1;102;03;20mm;49,50;3;660;660;BF2D@HjLIVING-MA.127@r01@i102@p492882@l6600@n3@e49.5@d20.0@gCA50@s300.00@v@Gl6600@w0@C79@
LIVING-MA.127;22614;20;V27;1;103;04;20mm;19,50;2;390;390;BF2D@HjLIVING-MA.127@r01@i103@p492883@l3900@n2@e19.5@d20.0@gCA50@s300.00@v@Gl3900@w0@C81@
LIVING-MA.127;22614;20;V27;1;104;05;20mm;49,88;3;665;665;BF2D@HjLIVING-MA.127@r01@i104@p492884@l6650@n3@e49.875@d20.0@gCA50@s300.00@v@Gl6650@w0@C82@
LIVING-MA.127;22614;20;V27;1;105;06;20mm;16,25;2;325;325;BF2D@HjLIVING-MA.127@r01@i105@p492885@l3250@n2@e16.25@d20.0@gCA50@s300.00@v@Gl3250@w0@C66@
LIVING-MA.127;22614;20;V27;1;106;07;16mm;17,38;3;362;358;BF2D@HjLIVING-MA.127@r01@i106@p492886@l3620@n3@e17.376@d16.0@gCA50@s240.00@v@Gl630@w-90@l2990@w0@C96@
LIVING-MA.127;22614;20;V27;1;107;08;16mm;18,19;3;379;375;BF2D@HjLIVING-MA.127@r01@i107@p492887@l3790@n3@e18.192@d16.0@gCA50@s240.00@v@Gl330@w-90@l3460@w0@C67@
LIVING-MA.127;22614;20;V27;1;108;09;8mm;3,33;4;208;206;BF2D@HjLIVING-MA.127@r01@i108@p492888@l2080@n4@e3.328@d8.0@gCA50@s32.00@v@Gl320@w-90@l1760@w0@C94@
LIVING-MA.127;22614;20;V27;1;109;10;12,5mm;12,15;2;620;620;BF2D@HjLIVING-MA.127@r01@i109@p492889@l6200@n2@e12.152@d12.5@gCA50@s50.00@v@Gl6200@w0@C89@
LIVING-MA.127;22614;20;V27;1;110;11;12,5mm;4,75;1;485;485;BF2D@HjLIVING-MA.127@r01@i110@p492890@l4850@n1@e4.753@d12.5@gCA50@s50.00@v@Gl4850@w0@C96@
LIVING-MA.127;22614;20;V27;1;111;12;16mm;18,08;2;565;565;BF2D@HjLIVING-MA.127@r01@i111@p492891@l5650@n2@e18.08@d16.0@gCA50@s240.00@v@Gl5650@w0@C81@
LIVING-MA.127;22614;20;V27;1;112;13;16mm;13,76;2;430;430;BF2D@HjLIVING-MA.127@r01@i112@p492892@l4300@n2@e13.76@d16.0@gCA50@s240.00@v@Gl4300@w0@C65@
LIVING-MA.127;22614;20;V27;1;113;14;16mm;10,56;2;330;330;BF2D@HjLIVING-MA.127@r01@i113@p492893@l3300@n2@e10.56@d16.0@gCA50@s240.00@v@Gl3300@w0@C70@
LIVING-MA.127;22614;20;V27;1;114;15;12,5mm;10,58;2;540;540;BF2D@HjLIVING-MA.127@r01@i114@p492894@l5400@n2@e10.584@d12.5@gCA50@s50.00@v@Gl5400@w0@C88@
LIVING-MA.127;22614;20;V27;1;115;16;12,5mm;4,07;1;415;415;BF2D@HjLIVING-MA.127@r01@i115@p492895@l4150@n1@e4.067@d12.5@gCA50@s50.00@v@Gl4150@w0@C70@
LIVING-MA.127;22614;20;V27;1;116;17;8mm;7,30;16;114;107;BF2D@HjLIVING-MA.127@r01@i116@p492896@l1140@n16@e7.296@d8.0@gCA50@s32.00@v@Gl80@w-120@l350@w-90@l140@w-90@l350@w-90@l140@w-120@l80@w0@C74@
LIVING-MA.127;22614;20;V27;1;117;18;8mm;64,03;92;174;167;BF2D@HjLIVING-MA.127@r01@i117@p492897@l1740@n92@e64.032@d8.0@gCA50@s32.00@v@Gl80@w-120@l650@w-90@l140@w-90@l650@w-90@l140@w-120@l80@w0@C81@
LIVING-MA.127;22614;20;V27;1;118;19;10mm;30,28;27;178;169;BF2D@HjLIVING-MA.127@r01@i118@p492898@l1780@n27@e30.278@d10.0@gCA50@s40.00@v@Gl100@w-120@l650@w-90@l140@w-90@l650@w-90@l140@w-120@l100@w0@C78@
LIVING-MA.127;22614;20;V27;1;119;20;8mm;14,69;6;612;612;BF2D@HjLIVING-MA.127@r01@i119@p492899@l6120@n6@e14.688@d8.0@gCA50@s32.00@v@Gl6120@w0@C81@
LIVING-MA.127;22614;20;V27;1;120;21;8mm;13,68;6;570;570;BF2D@HjLIVING-MA.127@r01@i120@p492900@l5700@n6@e13.68@d8.0@gCA50@s32.00@v@Gl5700@w0@C93@
LIVING-MA.127;22614;20;V27;1;121;22;8mm;12,77;6;532;532;BF2D@HjLIVING-MA.127@r01@i121@p492901@l5320@n6@e12.768@d8.0@gCA50@s32.00@v@Gl5320@w0@C73@
LIVING-MA.127;22614;20-1;V31;1;168;01;20mm;32,85;3;438;433;BF2D@HjLIVING-MA.127@r01@i168@p492952@l4380@n3@e32.85@d20.0@gCA50@s300.00@v@Gl630@w-90@l3750@w0@C93@
LIVING-MA.127;22614;20-1;V31;1;169;02;16mm;18,19;3;379;375;BF2D@HjLIVING-MA.127@r01@i169@p492953@l3790@n3@e18.192@d16.0@gCA50@s240.00@v@Gl330@w-90@l3460@w0@C65@
LIVING-MA.127;22614;20-1;V31;1;170;03;20mm;49,50;3;660;660;BF2D@HjLIVING-MA.127@r01@i170@p492954@l6600@n3@e49.5@d20.0@gCA50@s300.00@v@Gl6600@w0@C74@
LIVING-MA.127;22614;20-1;V31;1;171;04;20mm;19,50;2;390;390;BF2D@HjLIVING-MA.127@r01@i171@p492955@l3900@n2@e19.5@d20.0@gCA50@s300.00@v@Gl3900@w0@C76@
LIVING-MA.127;22614;20-1;V31;1;172;05;20mm;49,88;3;665;665;BF2D@HjLIVING-MA.127@r01@i172@p492956@l6650@n3@e49.875@d20.0@gCA50@s300.00@v@Gl6650@w0@C77@
LIVING-MA.127;22614;20-1;V31;1;173;06;20mm;16,25;2;325;325;BF2D@HjLIVING-MA.127@r01@i173@p492957@l3250@n2@e16.25@d20.0@gCA50@s300.00@v@Gl3250@w0@C93@
LIVING-MA.127;22614;20-1;V31;1;174;07;16mm;17,38;3;362;358;BF2D@HjLIVING-MA.127@r01@i174@p492958@l3620@n3@e17.376@d16.0@gCA50@s240.00@v@Gl630@w-90@l2990@w0@C91@
LIVING-MA.127;22614;20-1;V31;1;175;08;16mm;18,19;3;379;375;BF2D@HjLIVING-MA.127@r01@i175@p492959@l3790@n3@e18.192@d16.0@gCA50@s240.00@v@Gl330@w-90@l3460@w0@C94@
LIVING-MA.127;22614;20-1;V31;1;176;09;8mm;3,33;4;208;206;BF2D@HjLIVING-MA.127@r01@i176@p492960@l2080@n4@e3.328@d8.0@gCA50@s32.00@v@Gl320@w-90@l1760@w0@C66@
